ID,Name,Country,WCA ID,333-r1-g1,333-r1-g5,333-r1-g9,333-r1-g13,333-r1-g17,333-r2-g1,333-r2-g5,333-r2-g9,333-r3-g1,333-r3-g5,333-r1-g2,333-r1-g6,333-r1-g10,333-r1-g14,333-r1-g18,333-r2-g2,333-r2-g6,333-r2-g10,333-r3-g2,333-r3-g6,333-r4-g1,333-r1-g3,333-r1-g7,333-r1-g11,333-r1-g15,333-r1-g19,333-r2-g3,333-r2-g7,333-r2-g11,333-r3-g3,333-r3-g7,333-r1-g4,333-r1-g8,333-r1-g12,333-r1-g16,333-r1-g20,333-r2-g4,333-r2-g8,333-r2-g12,333-r3-g4,333-r3-g8,222-r1-g1,222-r1-g5,222-r1-g9,222-r1-g13,222-r1-g17,222-r2-g1,222-r2-g5,222-r1-g2,222-r1-g6,222-r1-g10,222-r1-g14,222-r1-g18,222-r2-g2,222-r2-g6,222-r3-g1,222-r1-g3,222-r1-g7,222-r1-g11,222-r1-g15,222-r1-g19,222-r2-g3,222-r2-g7,222-r1-g4,222-r1-g8,222-r1-g12,222-r1-g16,222-r1-g20,222-r2-g4,222-r2-g8,444-r1-g1,444-r1-g5,444-r1-g9,444-r1-g13,444-r2-g1,444-r2-g5,444-r3-g1,444-r3-g5,444-r1-g2,444-r1-g6,444-r1-g10,444-r1-g14,444-r2-g2,444-r2-g6,444-r3-g2,444-r3-g6,444-r4-g1,444-r1-g3,444-r1-g7,444-r1-g11,444-r1-g15,444-r2-g3,444-r2-g7,444-r3-g3,444-r3-g7,444-r1-g4,444-r1-g8,444-r1-g12,444-r1-g16,444-r2-g4,444-r2-g8,444-r3-g4,444-r3-g8,555-r1-g1,555-r1-g5,555-r1-g9,555-r2-g1,555-r2-g5,555-r1-g2,555-r1-g6,555-r1-g10,555-r2-g2,555-r2-g6,555-r3-g1,555-r1-g3,555-r1-g7,555-r1-g11,555-r2-g3,555-r2-g7,555-r1-g4,555-r1-g8,555-r1-g12,555-r2-g4,555-r2-g8,666-r1-g1,666-r1-g5,666-r2-g1,666-r2-g5,666-r1-g2,666-r1-g6,666-r2-g2,666-r2-g6,666-r3-g1,666-r1-g3,666-r1-g7,666-r2-g3,666-r2-g7,666-r1-g4,666-r1-g8,666-r2-g4,666-r2-g8,777-r2-g1,777-r2-g5,777-r1-g1,777-r1-g5,777-r1-g2,777-r1-g6,777-r2-g2,777-r2-g6,777-r3-g1,777-r1-g3,777-r1-g7,777-r2-g3,777-r2-g7,777-r1-g4,777-r1-g8,777-r2-g4,777-r2-g8,333bf-r1-g1,333bf-r1-g5,333bf-r2-g1,333bf-r2-g5,333bf-r1-g2,333bf-r1-g6,333bf-r2-g2,333bf-r2-g6,333bf-r3-g1,333bf-r1-g3,333bf-r1-g7,333bf-r2-g3,333bf-r2-g7,333bf-r1-g4,333bf-r1-g8,333bf-r2-g4,333bf-r2-g8,333oh-r1-g1,333oh-r1-g5,333oh-r1-g9,333oh-r2-g1,333oh-r2-g5,333oh-r1-g2,333oh-r1-g6,333oh-r1-g10,333oh-r2-g2,333oh-r2-g6,333oh-r3-g1,333oh-r1-g3,333oh-r1-g7,333oh-r1-g11,333oh-r2-g3,333oh-r2-g7,333oh-r1-g4,333oh-r1-g8,333oh-r1-g12,333oh-r2-g4,333oh-r2-g8,clock-r1-g1,clock-r1-g5,clock-r1-g9,clock-r2-g1,clock-r2-g5,clock-r3-g1,clock-r3-g5,clock-r1-g2,clock-r1-g6,clock-r1-g10,clock-r2-g2,clock-r2-g6,clock-r3-g2,clock-r3-g6,clock-r4-g1,clock-r1-g3,clock-r1-g7,clock-r1-g11,clock-r2-g3,clock-r2-g7,clock-r3-g3,clock-r3-g7,clock-r1-g4,clock-r1-g8,clock-r1-g12,clock-r2-g4,clock-r2-g8,clock-r3-g4,clock-r3-g8,minx-r1-g1,minx-r1-g5,minx-r2-g1,minx-r2-g5,minx-r1-g2,minx-r1-g6,minx-r2-g2,minx-r2-g6,minx-r3-g1,minx-r1-g3,minx-r1-g7,minx-r2-g3,minx-r2-g7,minx-r1-g4,minx-r1-g8,minx-r2-g4,minx-r2-g8,pyram-r1-g1,pyram-r1-g5,pyram-r1-g9,pyram-r1-g13,pyram-r2-g1,pyram-r2-g5,pyram-r1-g2,pyram-r1-g6,pyram-r1-g10,pyram-r1-g14,pyram-r2-g2,pyram-r2-g6,pyram-r3-g1,pyram-r1-g3,pyram-r1-g7,pyram-r1-g11,pyram-r1-g15,pyram-r2-g3,pyram-r2-g7,pyram-r1-g4,pyram-r1-g8,pyram-r1-g12,pyram-r1-g16,pyram-r2-g4,pyram-r2-g8,skewb-r1-g1,skewb-r1-g5,skewb-r1-g9,skewb-r2-g1,skewb-r2-g5,skewb-r1-g2,skewb-r1-g6,skewb-r1-g10,skewb-r2-g2,skewb-r2-g6,skewb-r3-g1,skewb-r1-g3,skewb-r1-g7,skewb-r1-g11,skewb-r2-g3,skewb-r2-g7,skewb-r1-g4,skewb-r1-g8,skewb-r1-g12,skewb-r2-g4,skewb-r2-g8,sq1-r1-g1,sq1-r1-g5,sq1-r2-g1,sq1-r2-g5,sq1-r1-g2,sq1-r1-g6,sq1-r2-g2,sq1-r2-g6,sq1-r3-g1,sq1-r1-g3,sq1-r1-g7,sq1-r2-g3,sq1-r2-g7,sq1-r1-g4,sq1-r1-g8,sq1-r2-g4,sq1-r2-g8,444bf-r1-g1,444bf-r1-g2,444bf-r1-g3,444bf-r1-g4,555bf-r1-g1,555bf-r1-g2,555bf-r1-g3,555bf-r1-g4
1,Jacob Ambrose,US,2010AMBR01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2,Zachary White,US,2010WHIT05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
3,Cady Shields,US,2014SHIE03,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Katie Hull,US,2010HULL01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,Zachary Ochs,US,2016OCHS01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Raymond Goslow,US,2014GOSL01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
7,Nancy Hartman,US,2017HART11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Joshua Feran,US,2011FERA01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
9,Vishwa Sankar,US,2017SANK04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
10,Luke Griesser,US,2015GRIE02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
